age_emp;gender;edu_level;job_title;year_exp;salary_emp;age_category;exp_level
38;Male;Master;Senior Software Engineer;15;148437;Millenial;Senior
50;Male;Master;Software Engineer Manager;21;166512;Genn X;Senior
35;Female;Master;Human Resources Manager;8;92000;Millenial;Senior
28;Male;Master;Senior Software Engineer;6;108607;Millenial;Mid
26;Male;Master;Junior Web Developer;2;48000;Gen Z;Entry
34;Male;Master;Senior Software Developer;8;105000;Millenial;Senior
35;Male;Master;Product Manager;7;105000;Millenial;Mid
25;Female;Master;Marketing Coordinator;2;40000;Gen Z;Entry
31;Male;Master;Full Stack Engineer;8;120288;Millenial;Senior
34;Male;Master;Senior Data Scientist;9;125000;Millenial;Senior
36;Female;Master;Web Developer;7;85000;Millenial;Mid
34;Male;Master;Software Engineer;9;125000;Millenial;Senior
43;Male;Master;Full Stack Engineer;20;167207;Genn X;Senior
43;Male;Master;Director of Marketing;18;170000;Genn X;Senior
53;Male;Master;Director of Marketing;25;180000;Genn X;Senior
35;Female;Master;Marketing Coordinator;8;85000;Millenial;Senior
31;Female;Master;Financial Manager;8;120000;Millenial;Senior
31;Female;Master;Content Marketing Manager;8;120000;Millenial;Senior
33;Female;Master;Software Engineer;8;120000;Millenial;Senior
54;Male;Master;Senior Software Engineer;31;193746;Genn X;Senior
26;Female;Master;Front end Developer;1;55000;Gen Z;Entry
34;Male;Master;Software Engineer Manager;9;146075;Millenial;Senior
42;Female;Master;Director of HR;13;135000;Millenial;Senior
43;Male;Phd;Senior Engineer;17;140000;Genn X;Senior
55;Male;Phd;Software Engineer Manager;17;190000;Baby Boomer;Senior
50;Female;Phd;Director of Sales and Marketing;22;180000;Genn X;Senior
32;Female;Phd;Data Scientist;9;145000;Millenial;Senior
30;Female;Phd;Data Scientist;7;185000;Millenial;Mid
48;Male;Phd;Software Engineer Manager;24;192211;Genn X;Senior
45;Male;Phd;Senior Project Engineer;16;185000;Genn X;Senior
30;Female;Phd;Data Scientist;5;180000;Millenial;Mid
57;Male;Phd;Software Engineer Manager;18;200000;Baby Boomer;Senior
35;Male;Phd;Senior Product Marketing Manager;8;80000;Millenial;Senior
47;Male;Phd;Software Engineer Manager;14;175000;Genn X;Senior
46;Female;Phd;Software Engineer Manager;14;180000;Genn X;Senior
44;Male;Phd;Chief Data Officer;16;220000;Genn X;Senior
30;Female;Phd;Data Scientist;6;170000;Millenial;Mid
36;Female;Phd;Research Scientist;13;185000;Millenial;Senior
60;Female;Phd;Software Engineer Manager;33;179180;Baby Boomer;Senior
47;Female;Phd;Full Stack Engineer;12;175000;Genn X;Senior
31;Female;High School;Junior Sales Associate;1;25000;Millenial;Entry
27;Male;High School;Back end Developer;3;68611;Millenial;Mid
26;Male;High School;Digital Marketing Manager;2;40000;Gen Z;Entry
23;Male;High School;Junior Sales Associate;1;25000;Gen Z;Entry
30;Female;High School;Junior Sales Associate;1;25000;Millenial;Entry
32;Male;High School;Sales Associate;3;50000;Millenial;Mid
39;Male;Master;Senior HR Generalist;11;100000;Millenial;Senior
34;Male;Master;Web Developer;8;90000;Millenial;Senior
41;Male;Master;Senior Software Engineer;11;165000;Millenial;Senior
41;Female;Master;Senior Software Engineer;12;160000;Millenial;Senior
48;Male;Master;Operations Director;18;190000;Genn X;Senior
43;Female;Master;Senior Software Engineer;19;152944;Genn X;Senior
28;Female;Master;Senior Software Engineer;5;99747;Millenial;Mid
33;Female;Master;Data Analyst;8;100000;Millenial;Senior
32;Male;Master;Senior Project Engineer;9;126916;Millenial;Senior
34;Female;Master;Senior Financial Advisor;6;80000;Millenial;Mid
35;Female;Master;Data Analyst;9;120000;Millenial;Senior
50;Female;Master;Senior Software Engineer;21;177002;Genn X;Senior
39;Female;Master;Marketing Manager;14;170000;Millenial;Senior
36;Male;Master;Full Stack Engineer;7;130000;Millenial;Mid
48;Male;Master;Director of Marketing;19;170000;Genn X;Senior
43;Male;Master;Senior Project Engineer;12;165000;Genn X;Senior
45;Female;Master;Senior Software Engineer;23;174436;Genn X;Senior
45;Male;Master;Senior Software Developer;16;140000;Genn X;Senior
45;Male;Master;Marketing Manager;20;204000;Genn X;Senior
34;Male;Master;Product Manager;12;196000;Millenial;Senior
28;Female;Master;Data Scientist;6;150000;Millenial;Mid
41;Male;Phd;Data Scientist;15;155000;Millenial;Senior
44;Female;Phd;Senior Scientist;16;140000;Genn X;Senior
45;Male;Phd;Director of HR;13;135000;Genn X;Senior
41;Male;Phd;Senior Project Engineer;12;165000;Millenial;Senior
42;Male;Phd;Senior Software Engineer;14;170000;Millenial;Senior
43;Female;Phd;Senior Consultant;15;140000;Genn X;Senior
51;Male;Phd;Software Engineer Manager;16;190000;Genn X;Senior
44;Male;Phd;Data Scientist;18;182000;Genn X;Senior
47;Male;Phd;Software Engineer Manager;21;173582;Genn X;Senior
39;Male;Phd;Research Scientist;14;185000;Millenial;Senior
27;Male;Phd;Data Scientist;2;115000;Millenial;Entry
48;Male;Phd;Full Stack Engineer;23;181021;Genn X;Senior
52;Female;Phd;Software Engineer Manager;29;194214;Genn X;Senior
41;Male;Phd;Data Scientist;15;190000;Millenial;Senior
26;Female;High School;Web Developer;1;35000;Gen Z;Entry
31;Female;High School;Sales Associate;2;40000;Millenial;Entry
31;Female;High School;Junior Sales Representative;3;40000;Millenial;Mid
31;Other;High School;Back end Developer;8;104127;Millenial;Senior
29;Female;High School;Customer Service Representative;3;35000;Millenial;Mid
31;Male;Bachelor;Sales Manager;4;80000;Millenial;Mid
42;Female;Master;Sales Manager;13;130000;Millenial;Senior
52;Male;Master;Senior Software Engineer;26;184816;Genn X;Senior
27;Female;Master;Full Stack Engineer;4;83577;Millenial;Mid
39;Male;Master;Senior HR Generalist;10;105000;Millenial;Senior
41;Female;Master;Data Analyst;13;80000;Millenial;Senior
52;Male;Master;Senior Project Engineer;28;187120;Genn X;Senior
33;Male;Master;Senior Operations Manager;7;115000;Millenial;Mid
45;Male;Master;Director of Marketing;14;140000;Genn X;Senior
33;Female;Master;Product Manager;11;190000;Millenial;Senior
32;Female;Master;Senior Software Engineer;7;100000;Millenial;Mid
36;Male;Master;Product Manager;10;160000;Millenial;Senior
50;Female;Master;Content Marketing Manager;15;150000;Genn X;Senior
31;Female;Master;Marketing Manager;4;62000;Millenial;Mid
39;Female;Master;Director of Marketing;10;100000;Millenial;Senior
36;Male;Master;Senior Data Scientist;9;125000;Millenial;Senior
39;Male;Master;Software Engineer Manager;14;142360;Millenial;Senior
42;Female;Master;Digital Marketing Manager;14;140000;Millenial;Senior
31;Female;Master;Financial Manager;7;120000;Millenial;Mid
32;Male;Master;Back end Developer;6;130000;Millenial;Mid
39;Female;Master;Marketing Manager;10;110000;Millenial;Senior
38;Female;Master;Marketing Director;14;170000;Millenial;Senior
34;Male;Master;Senior Software Engineer;9;105000;Millenial;Senior
27;Female;Master;Front end Developer;4;75969;Millenial;Mid
38;Female;Master;Marketing Manager;14;170000;Millenial;Senior
27;Female;Master;Junior HR Generalist;2;42000;Millenial;Entry
44;Female;Phd;Senior HR Manager;18;160000;Genn X;Senior
33;Male;Phd;Sales Director;10;155000;Millenial;Senior
46;Male;Phd;Software Engineer Manager;14;180000;Genn X;Senior
48;Male;Phd;Sales Director;18;180000;Genn X;Senior
49;Male;Phd;Senior Project Engineer;17;195000;Genn X;Senior
58;Male;Phd;Software Engineer Manager;17;195000;Baby Boomer;Senior
52;Male;Phd;Software Engineer Manager;27;190596;Genn X;Senior
38;Female;Phd;Software Engineer Manager;15;145052;Millenial;Senior
28;Female;Phd;Director of Marketing;6;105000;Millenial;Mid
42;Male;Phd;Full Stack Engineer;14;180000;Millenial;Senior
46;Female;Phd;Senior Product Marketing Manager;16;160000;Genn X;Senior
47;Male;Phd;Software Engineer Manager;16;185000;Genn X;Senior
44;Male;Phd;Data Scientist;17;168000;Genn X;Senior
46;Female;Phd;Director of Data Science;20;220000;Genn X;Senior
23;Male;Phd;Software Engineer Manager;1;579;Gen Z;Entry
56;Male;Phd;Software Engineer Manager;17;195000;Baby Boomer;Senior
54;Female;Phd;Software Engineer Manager;32;191267;Genn X;Senior
27;Male;High School;Sales Executive;2;40000;Millenial;Entry
24;Female;High School;Sales Associate;1;30000;Gen Z;Entry
24;Male;High School;Sales Associate;1;35000;Gen Z;Entry
54;Other;High School;Senior Software Engineer;29;158966;Genn X;Senior
23;Female;High School;Sales Executive;1;35000;Gen Z;Entry
23;Female;High School;Receptionist;0;25000;Gen Z;Entry
49;Female;Master;Senior Financial Analyst;18;150000;Genn X;Senior
33;Female;Master;Senior Software Engineer;8;105000;Millenial;Senior
41;Male;Master;Senior HR Generalist;11;115000;Millenial;Senior
35;Male;Master;Product Marketing Manager;8;95000;Millenial;Senior
38;Female;Master;Senior Software Engineer;13;134858;Millenial;Senior
38;Male;Master;Senior Human Resources Manager;11;110000;Millenial;Senior
43;Female;Master;Sales Manager;14;140000;Genn X;Senior
32;Female;Master;Full Stack Engineer;6;130000;Millenial;Mid
27;Female;Master;Full Stack Engineer;3;100000;Millenial;Mid
39;Female;Master;Marketing Manager;11;120000;Millenial;Senior
39;Female;Master;Senior Software Engineer;15;134641;Millenial;Senior
36;Male;Master;Senior Software Engineer;8;140000;Millenial;Senior
42;Female;Master;Senior Graphic Designer;15;110000;Millenial;Senior
27;Female;Master;Full Stack Engineer;3;95000;Millenial;Mid
32;Male;Master;Product Manager;7;110000;Millenial;Mid
37;Male;Master;Marketing Manager;11;110000;Millenial;Senior
35;Female;Master;Data Scientist;10;145000;Millenial;Senior
35;Male;Master;Back end Developer;8;140000;Millenial;Senior
40;Female;Master;Project Manager;14;130000;Millenial;Senior
45;Male;Master;Director of Sales;19;175000;Genn X;Senior
37;Female;Master;Senior Software Engineer;9;155000;Millenial;Senior
27;Female;Master;Content Marketing Manager;4;80000;Millenial;Mid
28;Female;Master;Data Analyst;3;65000;Millenial;Mid
42;Female;Master;Senior Human Resources Manager;13;125000;Millenial;Senior
52;Female;Phd;Software Engineer Manager;27;180958;Genn X;Senior
41;Male;Phd;Data Scientist;15;157000;Millenial;Senior
43;Female;Phd;Senior Human Resources Manager;15;150000;Genn X;Senior
28;Female;Phd;Data Scientist;5;100000;Millenial;Mid
45;Male;Phd;Senior Manager;15;150000;Genn X;Senior
43;Male;Phd;Content Marketing Manager;16;160000;Genn X;Senior
35;Male;Phd;Senior Human Resources Manager;10;110000;Millenial;Senior
43;Female;Phd;Senior Project Engineer;13;180000;Genn X;Senior
43;Female;Phd;Software Engineer Manager;19;156486;Genn X;Senior
27;Female;High School;Sales Representative;3;40000;Millenial;Mid
28;Male;High School;Junior Sales Associate;2;35000;Millenial;Entry
29;Male;High School;Sales Representative;2;40000;Millenial;Entry
24;Male;High School;Delivery Driver;0;28000;Gen Z;Entry
39;Female;Master;Senior Software Engineer;14;135853;Millenial;Senior
33;Male;Master;Business Intelligence Analyst;7;85000;Millenial;Mid
40;Male;Master;Software Engineer Manager;16;150301;Millenial;Senior
34;Female;Master;Business Analyst;5;80000;Millenial;Mid
38;Male;Master;Marketing Director;14;195000;Millenial;Senior
49;Female;Master;Director of Human Capital;21;180000;Genn X;Senior
32;Male;Master;Content Marketing Manager;5;70000;Millenial;Mid
36;Male;Master;Full Stack Engineer;11;138859;Millenial;Senior
42;Female;Master;Full Stack Engineer;14;163558;Millenial;Senior
33;Male;Master;Software Engineer;9;120000;Millenial;Senior
33;Female;Master;Full Stack Engineer;8;122970;Millenial;Senior
42;Female;Master;Director of Marketing;13;130000;Millenial;Senior
33;Male;Master;Content Marketing Manager;5;70000;Millenial;Mid
41;Male;Master;Front end Developer;13;127346;Millenial;Senior
27;Female;Master;Back end Developer;4;73938;Millenial;Mid
46;Female;Master;Marketing Manager;14;140000;Genn X;Senior
32;Female;Master;Product Manager;7;120000;Millenial;Mid
40;Male;Master;Software Engineer Manager;17;151670;Millenial;Senior
42;Male;Master;Financial Manager;13;130000;Millenial;Senior
32;Male;Master;Director of HR;6;95000;Millenial;Mid
50;Female;Master;Content Marketing Manager;18;180000;Genn X;Senior
36;Male;Master;Full Stack Engineer;13;147326;Millenial;Senior
30;Female;Master;Full Stack Engineer;5;102828;Millenial;Mid
43;Female;Master;Senior Product Marketing Manager;14;120000;Genn X;Senior
28;Female;Master;Software Developer;5;70000;Millenial;Mid
52;Female;Master;Senior Software Engineer;28;186963;Genn X;Senior
32;Male;Master;Senior Project Engineer;8;122354;Millenial;Senior
23;Male;Phd;Software Engineer Manager;1;119836;Gen Z;Entry
45;Female;Phd;Software Engineer Manager;23;172925;Genn X;Senior
42;Male;Phd;Software Engineer Manager;14;190000;Millenial;Senior
46;Male;Phd;Senior Data Scientist;18;160000;Genn X;Senior
33;Male;Phd;Data Scientist;8;190000;Millenial;Senior
54;Female;Phd;Software Engineer Manager;32;191510;Genn X;Senior
48;Male;Phd;Software Engineer Manager;18;200000;Genn X;Senior
42;Female;Phd;Senior Data Scientist;16;150000;Millenial;Senior
47;Male;Phd;Research Scientist;22;160000;Genn X;Senior
24;Male;Phd;Software Engineer Manager;1;106132;Gen Z;Entry
25;Female;High School;Juniour HR Coordinator;1;32000;Gen Z;Entry
29;Female;High School;Junior Sales Associate;1;26000;Millenial;Entry
25;Female;High School;Customer Service Representative;1;30000;Gen Z;Entry
25;Male;High School;Junior Sales Associate;1;30000;Gen Z;Entry
22;Female;High School;Receptionist;0;25000;Gen Z;Entry
30;Male;Master;Front end Developer;8;107895;Millenial;Senior
33;Female;Master;Full Stack Engineer;9;135596;Millenial;Senior
45;Male;Master;Senior Software Engineer;21;180367;Genn X;Senior
49;Female;Master;Senior HR Manager;19;150000;Genn X;Senior
28;Male;Master;Web Developer;5;80000;Millenial;Mid
36;Female;Master;Senior Software Engineer;13;140010;Millenial;Senior
37;Female;Master;Software Manager;11;110000;Millenial;Senior
28;Female;Master;Marketing Manager;7;110000;Millenial;Mid
39;Female;Master;Marketing Coordinator;11;120000;Millenial;Senior
38;Male;Master;Senior Software Engineer;14;147708;Millenial;Senior
30;Female;Master;Senior Project Engineer;5;101733;Millenial;Mid
34;Female;Master;Director of HR;9;95000;Millenial;Senior
45;Male;Master;Director of HR;14;140000;Genn X;Senior
32;Female;Master;Financial Manager;8;120000;Millenial;Senior
27;Female;Master;Marketing Manager;3;60000;Millenial;Mid
26;Female;Master;Software Engineer;2;75000;Gen Z;Entry
37;Male;Master;Senior Project Engineer;9;145000;Millenial;Senior
35;Female;Master;Full Stack Engineer;10;151901;Millenial;Senior
41;Female;Master;Senior Human Resources Manager;13;120000;Millenial;Senior
48;Male;Master;Director of Marketing;18;180000;Genn X;Senior
48;Male;Master;Director of Product Management;21;175000;Genn X;Senior
42;Male;Master;Product Manager;14;180000;Millenial;Senior
29;Female;Master;Content Marketing Manager;4;80000;Millenial;Mid
30;Female;Master;Senior Project Engineer;5;106278;Millenial;Mid
33;Female;Master;Front end Developer;9;121432;Millenial;Senior
55;Male;Phd;Software Engineer Manager;18;210000;Baby Boomer;Senior
36;Male;Phd;Research Scientist;11;155000;Millenial;Senior
52;Male;Phd;Software Engineer Manager;26;185982;Genn X;Senior
56;Female;Phd;Software Engineer Manager;18;210000;Baby Boomer;Senior
47;Male;Phd;Software Engineer Manager;21;174985;Genn X;Senior
44;Female;Phd;Senior Product Designer;15;150000;Genn X;Senior
38;Male;Phd;Senior Scientist;10;110000;Millenial;Senior
36;Male;Phd;Senior Research Scientist;11;135000;Millenial;Senior
35;Female;Phd;Senior Product Marketing Manager;9;95000;Millenial;Senior
48;Male;Phd;Software Engineer Manager;16;185000;Genn X;Senior
35;Male;Phd;Research Scientist;11;150000;Millenial;Senior
48;Male;Phd;Data Scientist;22;219000;Genn X;Senior
45;Female;Phd;Financial Manager;12;120000;Genn X;Senior
33;Female;Phd;Financial Manager;5;70000;Millenial;Mid
36;Male;Phd;Research Scientist;13;180000;Millenial;Senior
31;Male;Phd;Senior Human Resources Manager;7;90000;Millenial;Mid
45;Male;Phd;Data Scientist;16;160000;Genn X;Senior
40;Female;Phd;Director of HR;13;125000;Millenial;Senior
44;Male;Phd;Director of Data Science;18;210000;Genn X;Senior
52;Female;Phd;Software Engineer Manager;29;194778;Genn X;Senior
31;Female;High School;Financial Manager;4;60000;Millenial;Mid
24;Male;High School;Junior Sales Associate;1;25000;Gen Z;Entry
24;Female;High School;Senior Project Engineer;1;52731;Gen Z;Entry
23;Male;High School;Junior Sales Associate;1;26000;Gen Z;Entry
27;Male;High School;Financial Manager;3;45000;Millenial;Mid
23;Female;High School;Back end Developer;1;52807;Gen Z;Entry
28;Female;High School;Junior Sales Associate;1;30000;Millenial;Entry
25;Male;Bachelor;Product Manager;1;60000;Gen Z;Entry
36;Female;Master;Marketing Director;11;160000;Millenial;Senior
33;Female;Master;Senior Project Engineer;10;113334;Millenial;Senior
33;Female;Master;Product Manager;11;196000;Millenial;Senior
33;Male;Master;Senior Software Engineer;8;139817;Millenial;Senior
31;Female;Master;Marketing Manager;5;68000;Millenial;Mid
35;Male;Master;Senior Software Engineer;7;140000;Millenial;Mid
33;Female;Master;Senior Project Engineer;9;126753;Millenial;Senior
37;Male;Master;Marketing Director;14;180000;Millenial;Senior
31;Male;Master;Back end Developer;8;111535;Millenial;Senior
44;Female;Master;Senior Project Engineer;12;170000;Genn X;Senior
34;Female;Master;Financial Advisor;10;95000;Millenial;Senior
32;Female;Master;Senior HR Generalist;7;80000;Millenial;Mid
45;Female;Master;Director of Marketing;16;160000;Genn X;Senior
37;Female;Master;Marketing Manager;9;100000;Millenial;Senior
40;Female;Master;Software Engineer Manager;12;160000;Millenial;Senior
45;Female;Master;Senior Software Engineer;23;174336;Genn X;Senior
31;Female;Master;Data Scientist;9;195000;Millenial;Senior
36;Male;Master;Senior Software Engineer;7;140000;Millenial;Mid
47;Male;Master;Director of Finance;20;170000;Genn X;Senior
42;Female;Master;Director of HR;12;120000;Millenial;Senior
25;Female;Master;Software Engineer;2;60000;Gen Z;Entry
33;Male;Master;Product Manager;11;195000;Millenial;Senior
27;Female;Master;Web Developer;2;50000;Millenial;Entry
43;Female;Master;Digital Marketing Manager;15;150000;Genn X;Senior
44;Female;Phd;Software Engineer Manager;18;162454;Genn X;Senior
48;Male;Phd;Senior Project Engineer;16;190000;Genn X;Senior
31;Male;Phd;Data Scientist;7;110000;Millenial;Mid
44;Male;Phd;Senior Data Scientist;16;160000;Genn X;Senior
33;Female;Phd;Financial Manager;6;75000;Millenial;Mid
34;Female;Phd;Research Director;11;160000;Millenial;Senior
50;Male;Phd;Senior Project Engineer;16;195000;Genn X;Senior
30;Female;Phd;Data Scientist;6;100000;Millenial;Mid
31;Female;Phd;Data Scientist;9;195000;Millenial;Senior
44;Female;Phd;Senior UX Designer;15;145000;Genn X;Senior
53;Other;High School;Senior Project Engineer;31;166109;Genn X;Senior
30;Female;High School;Junior Sales Associate;1;26000;Millenial;Entry
25;Male;High School;Junior Sales Associate;1;26000;Gen Z;Entry
26;Female;High School;Junior HR Generalist;2;35000;Gen Z;Entry
25;Male;High School;Sales Associate;1;35000;Gen Z;Entry
28;Male;High School;Junior HR Generalist;1;32000;Millenial;Entry
33;Male;High School;Junior Sales Associate;1;25000;Millenial;Entry
33;Male;Master;Back end Developer;6;130000;Millenial;Mid
35;Female;Master;Senior Software Engineer;10;130355;Millenial;Senior
25;Male;Master;Software Engineer;2;60000;Gen Z;Entry
34;Female;Master;Senior Financial Advisor;6;100000;Millenial;Mid
37;Male;Master;Senior Business Analyst;9;105000;Millenial;Senior
45;Female;Master;Senior HR Manager;14;140000;Genn X;Senior
28;Male;Master;Full Stack Engineer;5;84181;Millenial;Mid
25;Female;Master;Junior Marketing Specialist;1.5;40000;Gen Z;Entry
29;Female;Master;Senior Software Engineer;6;132720;Millenial;Mid
31;Male;Master;Software Engineer Manager;8;130000;Millenial;Senior
37;Female;Master;Senior HR Generalist;9;95000;Millenial;Senior
30;Female;Master;Senior Project Engineer;4;92438;Millenial;Mid
29;Female;Master;Web Developer;3;60000;Millenial;Mid
36;Female;Master;Full Stack Engineer;13;144647;Millenial;Senior
41;Female;Master;Senior Project Engineer;11;165000;Millenial;Senior
41;Female;Master;Marketing Coordinator;13;131000;Millenial;Senior
29;Male;Master;Software Developer;3;75000;Millenial;Mid
31;Female;Master;Data Scientist;6;170000;Millenial;Mid
38;Male;Master;Marketing Manager;12;120000;Millenial;Senior
46;Male;Master;Director of Marketing;16;160000;Genn X;Senior
42;Male;Master;Web Developer;10;110000;Millenial;Senior
44;Female;Master;Senior HR Specialist;15;140000;Genn X;Senior
39;Female;Master;Software Engineer Manager;11;170000;Millenial;Senior
26;Male;Master;Digital Marketing Manager;3;50000;Gen Z;Mid
36;Female;Master;Senior Project Engineer;11;134482;Millenial;Senior
33;Female;Master;Full Stack Engineer;5;120000;Millenial;Mid
26;Male;Master;Front end Developer;4;75656;Gen Z;Mid
32;Female;Master;Full Stack Engineer;8;123781;Millenial;Senior
33;Female;Master;Senior Project Engineer;10;112439;Millenial;Senior
35;Female;Master;Full Stack Engineer;8;140000;Millenial;Senior
23;Male;Phd;Software Engineer Manager;0;52779;Gen Z;Entry
56;Male;Phd;Software Engineer Manager;18;195000;Baby Boomer;Senior
33;Male;Phd;Director of HR;9;120000;Millenial;Senior
33;Female;Phd;Senior Product Marketing Manager;5;70000;Millenial;Mid
43;Male;Phd;Data Scientist;15;150000;Genn X;Senior
43;Male;Phd;Software Engineer Manager;13;180000;Genn X;Senior
58;Female;Phd;Software Engineer Manager;17;195000;Baby Boomer;Senior
45;Female;Phd;Senior Project Engineer;21;181285;Genn X;Senior
56;Female;Phd;Software Engineer Manager;31;197354;Baby Boomer;Senior
33;Male;Phd;Director of HR;8;95000;Millenial;Senior
24;Male;Phd;Software Engineer Manager;1;106686;Gen Z;Entry
23;Female;Bachelor;Front end Developer;1;55000;Gen Z;Entry
42;Male;Master;Full Stack Engineer;19;176643;Millenial;Senior
33;Female;Master;Full Stack Engineer;8;122581;Millenial;Senior
35;Female;Master;Senior Software Engineer;11;134979;Millenial;Senior
50;Female;Master;Full Stack Engineer;25;192344;Genn X;Senior
40;Male;Phd;Director of HR;13;135000;Millenial;Senior
35;Female;Master;Marketing Director;11;160000;Millenial;Senior
41;Female;Master;Senior Marketing Manager;13;110000;Millenial;Senior
32;Female;Master;Full Stack Engineer;5;120000;Millenial;Mid
30;Male;Phd;Data Scientist;5;180000;Millenial;Mid
32;Male;Phd;Research Scientist;10;150000;Millenial;Senior
41;Male;Phd;Data Scientist;13;138000;Millenial;Senior
49;Female;Phd;Senior Project Engineer;19;210000;Genn X;Senior
52;Male;Phd;Software Engineer Manager;18;200000;Genn X;Senior
37;Male;Phd;Director of HR;11;115000;Millenial;Senior
31;Female;High School;Junior HR Coordinator;3;38000;Millenial;Mid
25;Male;Phd;Software Engineer Manager;12;169159;Gen Z;Senior
27;Female;High School;Junior HR Coordinator;1;30000;Millenial;Entry
26;Female;Bachelor;Junior Software Engineer;1;45000;Gen Z;Entry
34;Male;Bachelor;Senior Quality Assurance Analyst;9;100000;Millenial;Senior
28;Male;Bachelor;Customer Success Manager;2;40000;Millenial;Entry
27;Female;Bachelor;Software Developer;3;61000;Millenial;Mid
50;Female;Bachelor;Supply Chain Analyst;22;130000;Genn X;Senior
26;Female;Bachelor;Data Analyst;3;130000;Gen Z;Mid
33;Female;Bachelor;Full Stack Engineer;8;124071;Millenial;Senior
23;Male;Bachelor;Software Engineer;1;60000;Gen Z;Entry
34;Male;Bachelor;Senior Product Manager;7;95000;Millenial;Mid
26;Male;Bachelor;Back end Developer;3;75072;Gen Z;Mid
31;Male;Bachelor;Junior Operations Analyst;3;50000;Millenial;Mid
24;Female;Bachelor;Software Developer;2;55000;Gen Z;Entry
26;Male;Bachelor;Front end Developer;3;67556;Gen Z;Mid
30;Female;Bachelor;Marketing Coordinator;4;57000;Millenial;Mid
27;Female;Bachelor;Sales Representative;3;45000;Millenial;Mid
40;Female;Bachelor;Senior Marketing Manager;11;105000;Millenial;Senior
26;Male;Bachelor;Data Analyst;3;130000;Gen Z;Mid
54;Male;Bachelor;Senior Project Engineer;29;191915;Genn X;Senior
29;Female;Bachelor;Data Analyst;6;120000;Millenial;Mid
49;Male;Bachelor;Back end Developer;24;178284;Genn X;Senior
26;Male;Bachelor;Back end Developer;2;65000;Gen Z;Entry
26;Female;Bachelor;Software Engineer;2;65000;Gen Z;Entry
29;Female;Bachelor;Junior Marketing Analyst;2;40000;Millenial;Entry
26;Male;Bachelor;Marketing Analyst;2;50000;Gen Z;Entry
33;Female;Bachelor;Human Resources Manager;6;75000;Millenial;Mid
28;Male;Bachelor;Software Engineer;3;125000;Millenial;Mid
25;Male;Bachelor;Data Analyst;3;135000;Gen Z;Mid
44;Male;Bachelor;Senior Software Engineer;13;130000;Genn X;Senior
29;Male;Bachelor;Junior Business Operations Analyst;1.5;350;Millenial;Entry
45;Female;Bachelor;Senior Project Engineer;22;171468;Genn X;Senior
28;Female;Bachelor;Software Engineer;4;70000;Millenial;Mid
30;Female;Bachelor;Content Marketing Manager;3;55000;Millenial;Mid
35;Male;Bachelor;Front end Developer;10;128999;Millenial;Senior
26;Male;Bachelor;Front end Developer;2;70000;Gen Z;Entry
29;Male;Bachelor;Digital Marketing Manager;6;95000;Millenial;Mid
28;Male;Bachelor;Product Designer;3;60000;Millenial;Mid
36;Male;Bachelor;Senior Software Engineer;13;135378;Millenial;Senior
38;Male;Bachelor;Senior HR Generalist;8;95000;Millenial;Senior
51;Female;Bachelor;Customer Service Manager;22;130000;Genn X;Senior
28;Male;Bachelor;Software Engineer;3;60000;Millenial;Mid
25;Female;Bachelor;Front end Developer;1;550;Gen Z;Entry
30;Female;Bachelor;Junior Marketing Manager;4;57000;Millenial;Mid
36;Male;Bachelor;Senior Marketing Specialist;8;95000;Millenial;Senior
36;Male;Bachelor;Senior Operations Manager;8;95000;Millenial;Senior
45;Female;Bachelor;Senior Project Engineer;21;167015;Genn X;Senior
28;Female;Bachelor;Sales Representative;2;40000;Millenial;Entry
26;Male;Bachelor;Product Designer;2;55000;Gen Z;Entry
31;Male;Bachelor;Junior Project Manager;4;60000;Millenial;Mid
36;Male;Bachelor;Senior Business Analyst;8;95000;Millenial;Senior
27;Male;Bachelor;Software Developer;1;50000;Millenial;Entry
28;Male;Bachelor;Junior Software Engineer;2;40000;Millenial;Entry
29;Female;Bachelor;Sales Director;5;70000;Millenial;Mid
32;Female;Bachelor;Marketing Manager;8;115000;Millenial;Senior
26;Male;Bachelor;Graphic Designer;1;45000;Gen Z;Entry
43;Male;Bachelor;Senior Project Engineer;20;143084;Genn X;Senior
29;Female;Bachelor;Junior Sales Representative;2;40000;Millenial;Entry
25;Male;Bachelor;Front end Developer;1;60000;Gen Z;Entry
25;Male;Bachelor;Sales Representative;0;30000;Gen Z;Entry
30;Female;Bachelor;Product Manager;5;160000;Millenial;Mid
37;Male;Bachelor;Project Manager;10;95000;Millenial;Senior
31;Male;Bachelor;Back end Developer;8;100052;Millenial;Senior
38;Female;Bachelor;Senior Business Analyst;10;110000;Millenial;Senior
29;Female;Bachelor;Human Resources Coordinator;2;45000;Millenial;Entry
48;Female;Bachelor;HR Manager;18;140000;Genn X;Senior
37;Female;Bachelor;Senior Project Engineer;13;137336;Millenial;Senior
35;Male;Bachelor;Back end Developer;10;123386;Millenial;Senior
41;Female;Bachelor;Senior Marketing Coordinator;11;90000;Millenial;Senior
34;Female;Bachelor;Full Stack Engineer;8;122485;Millenial;Senior
27;Male;Bachelor;Software Engineer;3;85000;Millenial;Mid
39;Female;Bachelor;Training Specialist;12;65000;Millenial;Senior
24;Female;Bachelor;Junior Web Developer;1;40000;Gen Z;Entry
29;Female;Bachelor;Software Developer;5;80000;Millenial;Mid
